,no_neurons,electrode,correlation_coeff,inh_type,exc_type
410,1000,19,-0.021028170402392726,RS,LTS
411,1000,20,-0.051941859667598386,RS,LTS
412,1000,21,-0.02250933373733343,RS,LTS
413,1000,22,0.015536234145915503,RS,LTS
414,10,0,-0.016625172789099852,CH,RS
415,10,1,-0.04487239602644818,CH,RS
416,10,2,-0.03571302078061635,CH,RS
417,10,3,-0.04683169290818095,CH,RS
418,10,4,-0.010548380822937332,CH,RS
419,10,5,0.013295989685774709,CH,RS
420,10,6,-0.035354940729060494,CH,RS
421,10,7,-0.046394375447757395,CH,RS
422,10,8,0.003316171424419919,CH,RS
423,10,9,-0.04081733504831118,CH,RS
424,10,10,-0.01852695958138874,CH,RS
425,10,11,0.010687453678512433,CH,RS
426,10,12,0.0004127738820595582,CH,RS
427,10,13,-0.03341408131290652,CH,RS
428,10,14,-0.013446402257278773,CH,RS
429,10,15,-0.010610235436265285,CH,RS
430,10,16,0.00014255983811391158,CH,RS
431,10,17,-0.00939329486152854,CH,RS
432,10,18,0.014210013798192948,CH,RS
433,10,19,-0.027892833996085324,CH,RS
434,10,20,-0.01637263351736785,CH,RS
435,10,21,0.0050042653206842,CH,RS
436,10,22,0.02477500722937115,CH,RS
437,100,0,0.022813625037164283,CH,RS
438,100,1,-0.03921208880303355,CH,RS
439,100,2,-0.02673674218464274,CH,RS
440,100,3,-0.03226270839731891,CH,RS
441,100,4,-0.004923133694499867,CH,RS
442,100,5,-0.024966583414435493,CH,RS
443,100,6,-0.03796216829845785,CH,RS
444,100,7,-0.05869730232018378,CH,RS
445,100,8,0.011019271460858382,CH,RS
446,100,9,-0.047801699333925356,CH,RS
447,100,10,-0.015919684772531112,CH,RS
448,100,11,0.030003214029042907,CH,RS
449,100,12,0.006870562732200431,CH,RS
450,100,13,-0.018024639432086174,CH,RS
451,100,14,-0.004644093636243372,CH,RS
452,100,15,-0.0077970923848456235,CH,RS
453,100,16,-0.0005480192905164768,CH,RS
454,100,17,-0.00187460547395266,CH,RS
455,100,18,0.009719433736322416,CH,RS
456,100,19,-0.02101199171846639,CH,RS
457,100,20,-0.029344123727889238,CH,RS
458,100,21,-0.011911537153807581,CH,RS
459,100,22,0.020315648086193256,CH,RS
460,1000,0,0.0721084874862833,CH,RS
461,1000,1,-0.04718532441817393,CH,RS
462,1000,2,-0.032348095844410604,CH,RS
463,1000,3,-0.03621090575686467,CH,RS
464,1000,4,-0.011526753902705656,CH,RS
465,1000,5,-0.058718883130800405,CH,RS
466,1000,6,-0.03564367860703169,CH,RS
467,1000,7,-0.06661157964735341,CH,RS
468,1000,8,-0.006247034730963891,CH,RS
469,1000,9,-0.06593611327539384,CH,RS
470,1000,10,-0.03822876580371246,CH,RS
471,1000,11,0.03802163313506776,CH,RS
472,1000,12,-0.00441623917429411,CH,RS
473,1000,13,-0.020399597290960986,CH,RS
474,1000,14,-0.015486394483197287,CH,RS
475,1000,15,-0.01776409820723228,CH,RS
476,1000,16,-0.009639722862774988,CH,RS
477,1000,17,-0.006959355802137283,CH,RS
478,1000,18,0.006504249440628077,CH,RS
479,1000,19,-0.022176815429293215,CH,RS
480,1000,20,-0.04860009686944484,CH,RS
481,1000,21,-0.026205180831572562,CH,RS
482,1000,22,0.015131492546994786,CH,RS
483,10,0,0.03632692651047567,FS,LTS
484,10,1,-0.02768977935286656,FS,LTS
485,10,2,-0.018381515654503654,FS,LTS
486,10,3,-0.02706887644666282,FS,LTS
487,10,4,-0.001962421934030498,FS,LTS
488,10,5,-0.0008625806765791641,FS,LTS
489,10,6,-0.021401283750086753,FS,LTS
490,10,7,-0.03696631103813034,FS,LTS
491,10,8,0.008504818048110917,FS,LTS
492,10,9,-0.031003155678938972,FS,LTS
493,10,10,-0.011682125236729533,FS,LTS
494,10,11,0.019604759105815786,FS,LTS
495,10,12,0.0035240599083773963,FS,LTS
496,10,13,-0.016588396313551523,FS,LTS
497,10,14,-0.0020090790284454266,FS,LTS
498,10,15,-0.00405841104422165,FS,LTS
499,10,16,0.0014015563369180943,FS,LTS
500,10,17,-0.00011360525999463907,FS,LTS
501,10,18,0.013470717514579974,FS,LTS
502,10,19,-0.013822577530832809,FS,LTS
503,10,20,-0.015373140870574831,FS,LTS
504,10,21,-0.0039721836984748585,FS,LTS
505,10,22,0.016924315270506293,FS,LTS
506,100,0,0.06750059372808637,FS,LTS
507,100,1,-0.024538676616173587,FS,LTS
508,100,2,-0.012631387614836368,FS,LTS
509,100,3,-0.021800772514621994,FS,LTS
510,100,4,0.0006285723690382381,FS,LTS
